,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
182,,,,,,4.0,2.0,5.0,0.0,,1.0,0.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0,1.0,1.0,,1.0,2.0,3.0,,,,,,
183,,,,,,5.0,1.0,0.0,3.0,,4.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,,2.0,0.0,1.0,,,,,,
184,,,,,,3.0,1.0,0.0,1.0,,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,,1.0,4.0,1.0,,,,,,
185,,,,,,3.0,0.0,1.0,0.0,,0.0,1.0,2.0,0.0,2.0,0.0,7.0,0.0,1.0,2.0,0.0,,2.0,0.0,0.0,,,,,,
186,,,,,,5.0,5.0,0.0,1.0,,0.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,,0.0,0.0,1.0,,,,,,
187,,,,,,3.0,2.0,2.0,3.0,,1.0,2.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,2.0,,,,,,
188,,,,,,4.0,5.0,0.0,3.0,,0.0,2.0,2.0,2.0,7.0,3.0,2.0,1.0,5.0,2.0,1.0,,1.0,2.0,4.0,,,,,,
189,,1.0,,,1.0,5.0,3.0,2.0,0.0,,1.0,2.0,2.0,0.0,6.0,3.0,1.0,2.0,3.0,0.0,2.0,,,,0.0,,,,,,
190,,1.0,,,1.0,5.0,6.0,5.0,1.0,,3.0,4.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,,,,1.0,,,,,,
191,,1.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,3.0,,,,,,
192,,0.0,,,0.0,1.0,3.0,1.0,0.0,,2.0,1.0,1.0,3.0,3.0,1.0,5.0,0.0,3.0,2.0,4.0,,,,3.0,,,,,,
193,,0.0,,,2.0,3.0,5.0,3.0,2.0,,3.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,,,,0.0,,,,,,
194,,0.0,,,0.0,4.0,1.0,2.0,4.0,,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,
195,,2.0,,,2.0,3.0,0.0,3.0,2.0,,1.0,3.0,2.0,3.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,,,,0.0,,,,,,
196,,0.0,,,2.0,,,,,,,5.0,1.0,2.0,,,,,,,,,,,0.0,,,,,,
197,,,,,,0.0,,0.0,,,,0.0,,,,,,,4.0,,,,,,,,,,,,
198,,2.0,,,,,1.0,,1.0,,4.0,1.0,1.0,3.0,1.0,4.0,4.0,0.0,,4.0,0.0,,,,3.0,,,,,,
199,,0.0,,,0.0,3.0,,0.0,0.0,,0.0,,,,,,4.0,,,,3.0,,,,,,,,,,
200,,0.0,,,0.0,4.0,,1.0,,,2.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,,,,0.0,,,,,,
201,,0.0,,,3.0,3.0,1.0,0.0,2.0,,1.0,3.0,0.0,0.0,3.0,0.0,5.0,2.0,1.0,0.0,1.0,,,,1.0,,,,,,
202,,0.0,,,1.0,0.0,4.0,1.0,1.0,,2.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,,,,2.0,,,,,,
203,,1.0,,,2.0,4.0,2.0,0.0,1.0,,2.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,,,,0.0,,,,,,
204,,0.0,,,0.0,4.0,0.0,0.0,1.0,,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,,,,0.0,,,,,,
205,,0.0,,,2.0,4.0,,,,,,,,3.0,7.0,,,1.0,,,1.0,,,,2.0,,,,,,
206,,0.0,,,2.0,,2.0,0.0,1.0,,1.0,1.0,1.0,,2.0,3.0,1.0,,0.0,0.0,,,,,4.0,,,,,,
207,,1.0,,,0.0,3.0,2.0,0.0,0.0,,0.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,0.0,,,,1.0,,,,,,
208,,,,,0.0,,,2.0,2.0,,,1.0,2.0,0.0,,2.0,,0.0,2.0,,1.0,,,,,,,,,,
209,,1.0,,,2.0,4.0,1.0,1.0,2.0,,1.0,1.0,3.0,2.0,4.0,2.0,3.0,0.0,1.0,2.0,0.0,,,,0.0,,,,,,
210,,0.0,,,0.0,1.0,,,2.0,,2.0,3.0,,,4.0,0.0,3.0,2.0,1.0,0.0,1.0,,,,0.0,,,,,,
211,,,,,,4.0,0.0,0.0,,,1.0,,2.0,1.0,,,,,,1.0,,,,,1.0,,,,,,
212,,,,,1.0,2.0,1.0,0.0,0.0,,2.0,,1.0,4.0,4.0,1.0,2.0,4.0,,3.0,,,,,0.0,,,,,,
213,,1.0,,,,1.0,3.0,,,,,,2.0,0.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,
214,,,,,,3.0,,3.0,,,7.0,4.0,,,,0.0,2.0,,,,1.0,,,,1.0,,,,,,
215,,2.0,,,0.0,,1.0,2.0,2.0,,,,2.0,2.0,2.0,,1.0,2.0,1.0,0.0,,,,,,,,,,,
216,,0.0,,,0.0,2.0,4.0,0.0,1.0,,3.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,,,,0.0,,,,,,
217,,1.0,,,1.0,4.0,4.0,1.0,0.0,,2.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,,,,2.0,,,,,,
218,,0.0,,,0.0,4.0,2.0,0.0,2.0,,2.0,1.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,1.0,3.0,,,,6.0,,,,,,
219,,0.0,,,1.0,0.0,2.0,3.0,0.0,,2.0,0.0,1.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,3.0,,,,,,
220,0.0,,,,,1.0,,0.0,2.0,,2.0,2.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,,,,,1.0,,,,,
221,1.0,,,,,2.0,2.0,1.0,2.0,,5.0,4.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,,,,1.0,2.0,,,,,
222,1.0,,,,,3.0,1.0,1.0,3.0,,0.0,0.0,3.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,1.0,,,,1.0,2.0,,,,,
223,1.0,,,,,1.0,2.0,0.0,2.0,,1.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,4.0,0.0,0.0,,,,1.0,2.0,,,,,
224,1.0,,,,,0.0,2.0,1.0,2.0,,1.0,0.0,0.0,2.0,5.0,0.0,4.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,,,,,
225,,,,,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,2.0,,,,,,
226,2.0,,,,,2.0,4.0,3.0,2.0,,,1.0,1.0,1.0,3.0,2.0,1.0,,2.0,0.0,0.0,,,,0.0,0.0,,,,,
227,1.0,,,,,3.0,2.0,3.0,1.0,,2.0,3.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,,,,2.0,0.0,,,,,
228,0.0,,,,,3.0,0.0,1.0,0.0,,3.0,2.0,2.0,0.0,4.0,3.0,0.0,3.0,0.0,1.0,1.0,,,,1.0,0.0,,,,,
229,2.0,,,,,1.0,0.0,1.0,2.0,,1.0,3.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,3.0,0.0,,,,1.0,0.0,,,,,
230,0.0,,,,,1.0,0.0,4.0,4.0,,0.0,0.0,0.0,1.0,3.0,5.0,2.0,0.0,1.0,1.0,1.0,,,,0.0,1.0,,,,,
231,0.0,,,,,3.0,0.0,1.0,1.0,,4.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,,,,1.0,2.0,,,,,
232,1.0,,,,,4.0,2.0,1.0,4.0,,2.0,2.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,3.0,,,,,
233,0.0,,,,,3.0,0.0,1.0,2.0,,2.0,0.0,1.0,0.0,7.0,4.0,2.0,2.0,2.0,2.0,0.0,,,,0.0,1.0,,,,,
234,2.0,,,,,3.0,4.0,,1.0,,1.0,1.0,0.0,,2.0,0.0,2.0,1.0,0.0,1.0,2.0,,,,3.0,0.0,,,,,
235,2.0,,,,,0.0,2.0,0.0,3.0,,3.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,,,,3.0,1.0,,,,,
236,1.0,,,,,,,1.0,,,3.0,,1.0,0.0,,0.0,,,,,,,,,,,,,,,
237,,,,,,4.0,2.0,1.0,0.0,,,2.0,,1.0,1.0,,3.0,0.0,0.0,3.0,0.0,,,,2.0,1.0,,,,,
238,1.0,,,,,2.0,3.0,1.0,2.0,,2.0,3.0,4.0,,2.0,2.0,0.0,0.0,1.0,2.0,1.0,,,,1.0,,,,,,
239,,,,,,1.0,2.0,2.0,2.0,,4.0,1.0,1.0,1.0,6.0,1.0,,,1.0,3.0,1.0,,,,,3.0,,,,,
240,,,,,,,,,,,0.0,,,1.0,,,,,,2.0,,,,,,2.0,,,,,
241,0.0,,,,,1.0,1.0,3.0,1.0,,,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,,1.0,,,,2.0,0.0,,,,,
242,1.0,,,,,2.0,,,0.0,,,,,,,,3.0,3.0,,,,,,,1.0,,,,,,
243,0.0,,,,,,3.0,2.0,,,0.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,2.0,1.0,1.0,,,,0.0,2.0,,,,,
244,1.0,,,,,2.0,1.0,4.0,0.0,,2.0,1.0,0.0,2.0,4.0,1.0,4.0,2.0,2.0,3.0,0.0,,,,0.0,0.0,,,,,
245,0.0,,,,,3.0,2.0,0.0,1.0,,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,,,,0.0,0.0,,,,,
246,1.0,,,,,2.0,1.0,1.0,0.0,,1.0,1.0,2.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0,,,,0.0,1.0,,,,,
247,0.0,,,,,1.0,2.0,1.0,1.0,,4.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,1.0,0.0,,,,,
248,0.0,,,,,3.0,6.0,3.0,0.0,,1.0,2.0,3.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,,,,3.0,1.0,,,,,
249,3.0,,,,,2.0,3.0,2.0,0.0,,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,,,,2.0,1.0,,,,,
250,0.0,,,,,4.0,6.0,0.0,3.0,,1.0,3.0,2.0,5.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,,,,0.0,0.0,,,,,
251,1.0,,,,,0.0,0.0,2.0,1.0,,0.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,0.0,1.0,1.0,,,,2.0,0.0,,,,,
252,0.0,,,,,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,,,,1.0,1.0,,,,,
253,1.0,,,,,3.0,1.0,1.0,0.0,,2.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,2.0,0.0,,,,,
254,0.0,,,,,2.0,1.0,3.0,1.0,,1.0,2.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,,,,1.0,1.0,,,,,
255,5.0,,,,,1.0,1.0,0.0,0.0,,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,,,,0.0,2.0,,,,,
256,3.0,,,,,1.0,2.0,1.0,2.0,,3.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,,,,2.0,4.0,,,,,
257,2.0,,,,,6.0,4.0,1.0,2.0,,2.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,0.0,,,,0.0,1.0,,,,,
258,1.0,,,,,3.0,5.0,1.0,0.0,,3.0,1.0,0.0,2.0,0.0,2.0,8.0,1.0,1.0,3.0,,0.0,,,2.0,3.0,,,,,
259,2.0,,,,,0.0,2.0,2.0,1.0,,5.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,,1.0,,,0.0,0.0,,,,,
260,1.0,,,,,3.0,3.0,5.0,0.0,,1.0,2.0,2.0,1.0,4.0,0.0,2.0,0.0,2.0,2.0,,3.0,,,0.0,1.0,,,,,
261,0.0,,,,,2.0,0.0,0.0,1.0,,3.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,,3.0,,,0.0,3.0,,,,,
262,0.0,,,,,2.0,2.0,1.0,1.0,,0.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,,,
263,1.0,,,,,0.0,3.0,2.0,3.0,,0.0,1.0,4.0,0.0,3.0,3.0,2.0,2.0,2.0,4.0,,3.0,,,2.0,0.0,,,,,
264,0.0,,,,,4.0,3.0,1.0,2.0,,0.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,,0.0,,,1.0,1.0,,,,,
265,1.0,,,,,3.0,4.0,2.0,0.0,,4.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,,0.0,0.0,,,,,
266,0.0,,,,,7.0,2.0,1.0,1.0,,,0.0,1.0,0.0,2.0,,4.0,0.0,2.0,2.0,,1.0,,,0.0,1.0,,,,,
267,1.0,,,,,3.0,2.0,1.0,0.0,,0.0,1.0,4.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,,2.0,,,2.0,0.0,,,,,
268,0.0,,,,,3.0,3.0,0.0,0.0,,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,,2.0,,,2.0,0.0,,,,,
269,2.0,,,,,1.0,0.0,2.0,1.0,,1.0,1.0,7.0,3.0,5.0,4.0,5.0,1.0,1.0,1.0,,1.0,,,1.0,0.0,,,,,
270,2.0,,,,,4.0,1.0,2.0,0.0,,2.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,4.0,,0.0,,,0.0,2.0,,,,,
271,3.0,,,,,5.0,0.0,0.0,1.0,,1.0,3.0,2.0,3.0,1.0,0.0,3.0,4.0,2.0,2.0,,6.0,,,5.0,1.0,,,,,
272,1.0,,,,,,,,2.0,,3.0,1.0,0.0,,,1.0,,2.0,0.0,,,,,,0.0,1.0,,,,,
273,,,,,,1.0,6.0,3.0,,,3.0,,,0.0,4.0,0.0,5.0,,,0.0,,0.0,,,,,,,,,
274,3.0,,,,,2.0,2.0,0.0,1.0,,1.0,0.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,,1.0,,,1.0,2.0,,,,,
275,0.0,,,,,3.0,3.0,2.0,0.0,,1.0,2.0,5.0,1.0,1.0,4.0,2.0,1.0,3.0,0.0,,1.0,,,2.0,0.0,,,,,
276,2.0,,,,,4.0,2.0,1.0,1.0,,2.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,,0.0,,,2.0,0.0,,,,,
277,1.0,,,,,1.0,2.0,0.0,1.0,,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,,1.0,,,1.0,0.0,,,,,
278,3.0,,,,,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,,1.0,,,1.0,2.0,,,,,
279,2.0,,,,,3.0,2.0,0.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,4.0,2.0,,1.0,,,1.0,0.0,,,,,
280,0.0,,,,,0.0,3.0,1.0,1.0,,5.0,2.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,2.0,,0.0,,,1.0,1.0,,,,,
281,2.0,,,,,2.0,4.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,,1.0,,,1.0,2.0,,,,,
282,1.0,,,,,1.0,2.0,1.0,2.0,,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,,,1.0,0.0,,,,,
283,1.0,,,,,2.0,2.0,0.0,0.0,,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,,2.0,,,1.0,0.0,,,,,
284,0.0,,,,,1.0,1.0,3.0,3.0,,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,,0.0,,,3.0,0.0,,,,,
285,0.0,,,,,2.0,0.0,0.0,0.0,,1.0,1.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,3.0,,3.0,,,1.0,3.0,,,,,
286,0.0,,,,,0.0,4.0,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,2.0,0.0,4.0,1.0,0.0,,0.0,,,2.0,1.0,,,,,
287,4.0,,,,,1.0,5.0,2.0,3.0,,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,1.0,,,2.0,0.0,,,,,
288,2.0,,,,,1.0,3.0,0.0,0.0,,2.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,,3.0,,,1.0,0.0,,,,,
289,0.0,,,,,1.0,2.0,3.0,2.0,,1.0,2.0,1.0,0.0,0.0,3.0,4.0,2.0,1.0,4.0,,0.0,,,1.0,1.0,,,,,
290,1.0,,,,,2.0,2.0,1.0,3.0,,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,,0.0,,,0.0,4.0,,,,,
291,2.0,,,,,1.0,5.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,,2.0,,,1.0,3.0,,,,,
292,1.0,,,,,5.0,2.0,2.0,0.0,,5.0,7.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,,3.0,,,2.0,0.0,,,,,
293,1.0,,,,1.0,2.0,8.0,0.0,,,0.0,1.0,2.0,0.0,3.0,2.0,4.0,1.0,0.0,3.0,,0.0,,,,0.0,0.0,,,,
294,2.0,,,,2.0,5.0,4.0,2.0,,,1.0,2.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,,1.0,,,,1.0,3.0,,,,
295,3.0,,,,2.0,0.0,2.0,2.0,,,3.0,5.0,0.0,0.0,2.0,1.0,3.0,0.0,4.0,2.0,,0.0,,,,1.0,3.0,,,,
296,2.0,,,,3.0,1.0,1.0,2.0,,,5.0,1.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,,2.0,,,,0.0,2.0,,,,
297,1.0,,,,2.0,4.0,3.0,3.0,,,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,,1.0,,,,1.0,1.0,,,,
298,0.0,,,,0.0,1.0,6.0,2.0,,,0.0,3.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,,3.0,,,,2.0,1.0,,,,
299,2.0,,,,0.0,3.0,2.0,2.0,,,9.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,,2.0,,,,0.0,1.0,,,,
300,0.0,,,,4.0,3.0,0.0,1.0,,,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,,,,2.0,1.0,,,,
301,1.0,,,,0.0,4.0,1.0,0.0,,,4.0,1.0,2.0,0.0,0.0,1.0,3.0,5.0,2.0,1.0,,1.0,,,,1.0,0.0,,,,
302,3.0,,,,0.0,1.0,4.0,0.0,,,2.0,2.0,3.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,,4.0,,,,0.0,2.0,,,,
303,0.0,,,,1.0,1.0,2.0,4.0,,,1.0,5.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,,1.0,,,,0.0,2.0,,,,
304,1.0,,,,3.0,4.0,4.0,3.0,,,2.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,3.0,,1.0,,,,0.0,0.0,,,,
305,1.0,,,,0.0,1.0,1.0,7.0,,,1.0,3.0,2.0,6.0,6.0,2.0,1.0,0.0,3.0,1.0,,0.0,,,,0.0,0.0,,,,
306,1.0,,,,0.0,2.0,3.0,1.0,,,4.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,,0.0,,,,2.0,0.0,,,,
307,3.0,,,,1.0,,,3.0,,,5.0,2.0,1.0,0.0,,3.0,,1.0,1.0,1.0,,0.0,,,,1.0,1.0,,,,
308,,,,,2.0,4.0,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,,2.0,,2.0,,,,1.0,2.0,,,,
309,0.0,,,,,1.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,
310,,,,,2.0,1.0,2.0,0.0,,,,1.0,3.0,4.0,,0.0,1.0,,2.0,1.0,,0.0,,,,2.0,1.0,,,,
311,1.0,,,,,3.0,,,,,5.0,,1.0,3.0,3.0,,0.0,1.0,,5.0,,,,,,,1.0,,,,
312,2.0,,,,0.0,2.0,2.0,0.0,,,3.0,0.0,1.0,,1.0,2.0,,2.0,2.0,1.0,,1.0,,,,5.0,0.0,,,,
313,,,,,,2.0,0.0,,,,,,0.0,,2.0,,2.0,,1.0,,,,,,,,,,,,
314,2.0,,,,1.0,2.0,3.0,2.0,,,7.0,1.0,,0.0,0.0,0.0,0.0,2.0,,1.0,,1.0,,,,0.0,0.0,,,,
315,0.0,,,,1.0,,,,,,,,2.0,,3.0,,,,1.0,,,,,,,1.0,,,,,
316,0.0,,,,,1.0,1.0,0.0,,,1.0,2.0,,1.0,,2.0,2.0,5.0,1.0,1.0,,1.0,,,,,1.0,,,,
317,2.0,,,,0.0,1.0,6.0,1.0,,,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,,1.0,,,,2.0,4.0,,,,
318,2.0,,,,1.0,4.0,3.0,1.0,,,2.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,5.0,,0.0,,,,3.0,2.0,,,,
319,0.0,,,,1.0,1.0,4.0,3.0,,,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,,0.0,,,,2.0,3.0,,,,
320,4.0,,,,1.0,,,1.0,,,3.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,,1.0,,,,2.0,0.0,,,,
321,2.0,,,,0.0,1.0,4.0,2.0,,,1.0,1.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0,0.0,,0.0,,,,0.0,1.0,,,,
322,,,,,0.0,0.0,0.0,2.0,,,4.0,3.0,,,,3.0,0.0,,3.0,,,0.0,,,,,,,,,
323,3.0,,,,,3.0,1.0,,,,,,2.0,2.0,2.0,,,2.0,,0.0,,,,,,1.0,1.0,,,,
324,2.0,,,,1.0,0.0,4.0,0.0,,,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,,2.0,,,,0.0,1.0,,,,
325,0.0,,,,1.0,2.0,4.0,1.0,,,3.0,0.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,,0.0,,,,0.0,2.0,,,,
326,4.0,,,,1.0,1.0,2.0,1.0,,,2.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,0.0,1.0,,,,
327,0.0,,,,0.0,1.0,5.0,1.0,,,5.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,,0.0,,,,1.0,3.0,,,,
328,2.0,,,,0.0,5.0,1.0,1.0,,,3.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,4.0,,,,2.0,5.0,3.0,,,,,
329,0.0,,,,1.0,1.0,1.0,0.0,,,2.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,2.0,,,,0.0,3.0,2.0,,,,,
330,1.0,,,,2.0,0.0,2.0,1.0,,,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,1.0,0.0,1.0,,,,,
331,2.0,,,,0.0,1.0,3.0,0.0,,,2.0,2.0,3.0,2.0,1.0,0.0,5.0,1.0,4.0,3.0,,,,0.0,0.0,1.0,,,,,
332,0.0,,,,0.0,3.0,2.0,3.0,,,5.0,0.0,0.0,2.0,0.0,2.0,6.0,2.0,4.0,3.0,,,,2.0,0.0,2.0,,,,,
333,1.0,,,,0.0,1.0,1.0,0.0,,,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,,,,0.0,2.0,0.0,,,,,
334,0.0,,,,1.0,2.0,2.0,0.0,,,2.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,,,,0.0,1.0,3.0,,,,,
335,2.0,,,,0.0,2.0,3.0,2.0,,,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,1.0,,,,,
336,0.0,,,,1.0,2.0,2.0,2.0,,,3.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,1.0,0.0,,,,3.0,1.0,0.0,,,,,
337,2.0,,,,0.0,0.0,5.0,2.0,,,1.0,1.0,0.0,2.0,5.0,0.0,3.0,1.0,2.0,5.0,,,,0.0,0.0,0.0,,,,,
338,4.0,,,,0.0,1.0,4.0,2.0,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,,,,0.0,0.0,0.0,,,,,
339,3.0,,,,3.0,4.0,0.0,4.0,,,0.0,1.0,6.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,,,,3.0,1.0,0.0,,,,,
340,4.0,,,,1.0,2.0,1.0,1.0,,,2.0,1.0,2.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,,,,1.0,1.0,1.0,,,,,
341,2.0,,,,3.0,4.0,2.0,2.0,,,3.0,3.0,6.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,,,,1.0,4.0,0.0,,,,,
342,1.0,,,,0.0,1.0,3.0,0.0,,,2.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,,,,0.0,1.0,2.0,,,,,
343,4.0,,,,0.0,1.0,6.0,0.0,,,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,,,,3.0,0.0,1.0,,,,,
344,2.0,,,,0.0,0.0,3.0,3.0,,,3.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,,,,1.0,0.0,0.0,,,,,
345,1.0,,,,1.0,1.0,4.0,1.0,,,3.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,0.0,2.0,2.0,,,,,
346,3.0,,,,0.0,2.0,0.0,3.0,,,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,,,,0.0,1.0,1.0,,,,,
347,0.0,,,,0.0,3.0,0.0,0.0,,,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,0.0,1.0,,,,,
348,0.0,,,,0.0,6.0,2.0,3.0,,,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,,,,2.0,0.0,2.0,,,,,
349,1.0,,,,2.0,5.0,1.0,3.0,,,3.0,0.0,2.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,,,,3.0,1.0,1.0,,,,,
